year_bucket	date_range	city_ancient	city_modern	country_modern	lat	lon	location_precision	ruling_empire_polity	ruling_subdivision	church_presence_status	church_planted_year_earliest_claim	church_planted_year_scholarly	church_planted_by	apostolic_origin_thread	key_figures	denomination_label_historic	modern_denom_mapping	council_context	evidence_notes_and_citations
0320	0320-0329	Lugdunum	Lyon	France	45.74850	4.84670	exact	Roman Empire	Gallia Lugdunensis	attested	0140	0177	Asian Greek Christian missionaries	Unknown/Composite	unnamed bishops	Nicene proto-orthodox	Roman Catholic; multiple heirs	Nicaea I (325): affected	Summary: Lyon bishop attends Nicaea (325); important Western see. Evidence: Nicaea records. Citations: https://www.britannica.com/event/First-Council-of-Nicaea-325
0330	0330-0339	Lugdunum	Lyon	France	45.74850	4.84670	exact	Roman Empire	Gallia Lugdunensis	attested	0140	0177	Asian Greek Christian missionaries	Unknown/Composite	unnamed bishops	Nicene proto-orthodox	Roman Catholic; multiple heirs		Summary: Lyon church attested in post-Nicaea network. Evidence: General records. Citations: https://www.newadvent.org/fathers/2602.htm
0340	0340-0349	Lugdunum	Lyon	France	45.74850	4.84670	exact	Roman Empire	Gallia Lugdunensis	attested	0140	0177	Asian Greek Christian missionaries	Unknown/Composite	unnamed bishops	Nicene proto-orthodox	Roman Catholic; multiple heirs		Summary: Lyon church attested. Evidence: General records. Citations: https://www.newadvent.org/fathers/2602.htm
0350	0350-0359	Lugdunum	Lyon	France	45.74850	4.84670	exact	Roman Empire	Gallia Lugdunensis	attested	0140	0177	Asian Greek Christian missionaries	Unknown/Composite	unnamed bishops	Nicene proto-orthodox	Roman Catholic; multiple heirs		Summary: Lyon is an established Western see with the legacy of Irenaeus and the 177 martyrdoms. Evidence: General records. Citations: https://www.newadvent.org/fathers/2602.htm
0100	0100-0109	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	probable	0100	0110	unknown	Unknown/Composite	Pliny the Younger (governor, attests Bithynian Christians)	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Pliny the Younger's letter to Trajan (c.111-112 AD) attests that Christians are numerous throughout Bithynia-Pontus province; Nicomedia is the provincial capital. Uncertainty: letter does not name Nicomedia specifically. Evidence: Pliny, Ep. 10.96-97. Citations: https://faculty.georgetown.edu/jod/texts/pliny.html
0110	0110-0119	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	Pliny the Younger (governor); Trajan (emperor)	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Pliny's letter to Trajan (c.111-112 AD) is the premier extrabiblical attestation of Christianity; Christians in Bithynia had abandoned their faith in the face of persecution. Evidence: Pliny, Ep. 10.96-97. Citations: https://faculty.georgetown.edu/jod/texts/pliny.html
0120	0120-0129	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues as established community in provincial capital. Evidence: Implied from Pliny; general records. Citations: https://faculty.georgetown.edu/jod/texts/pliny.html
0130	0130-0139	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0140	0140-0149	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0150	0150-0159	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0160	0160-0169	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0170	0170-0179	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0180	0180-0189	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0190	0190-0199	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0200	0200-0209	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues as provincial capital. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0210	0210-0219	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0220	0220-0229	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0230	0230-0239	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0240	0240-0249	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0250	0250-0259	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues; Decian persecution broadly affects Bithynia. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0260	0260-0269	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0270	0270-0279	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0280	0280-0289	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedian church continues; Diocletian makes Nicomedia his Eastern capital (~284). Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0290	0290-0299	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops; Anthimus of Nicomedia	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Nicomedia is Diocletian's Eastern capital; Anthimus is bishop; the Great Persecution will begin here in 303 AD. Evidence: Eusebius, Ecc. Hist. 8. Citations: https://www.newadvent.org/fathers/250108.htm
0300	0300-0309	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	Anthimus of Nicomedia (martyred 303); Eusebius of Nicomedia (young)	proto-orthodox	Eastern Orthodox; multiple heirs		Summary: Diocletian's Great Persecution begins at Nicomedia (303 AD); the church building is destroyed; Anthimus bishop martyred. Evidence: Eusebius, Ecc. Hist. 8.6. Citations: https://www.newadvent.org/fathers/250108.htm
0310	0310-0319	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	Eusebius of Nicomedia	proto-orthodox; Arian-leaning	Eastern Orthodox; multiple heirs		Summary: Eusebius of Nicomedia becomes bishop; he is an Arian sympathizer who will be key to the Arian controversy. Evidence: Theodoret, Ecc. Hist. 1.4. Citations: https://www.britannica.com/biography/Eusebius-of-Nicomedia
0320	0320-0329	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	Eusebius of Nicomedia; Constantine I	Arian (Eusebius); Nicene (majority at Nicaea)	Eastern Orthodox; multiple heirs	Nicaea I (325): affected (Arian Eusebius)	Summary: Eusebius of Nicomedia supports Arius at Nicaea (325) and is exiled briefly; Constantine I is baptized by him on his deathbed (337). Evidence: Theodoret, Ecc. Hist. 1.5. Citations: https://www.britannica.com/biography/Eusebius-of-Nicomedia
0330	0330-0339	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	Eusebius of Nicomedia; Constantine I (d.337 at Nicomedia)	Arian (dominant)	Eastern Orthodox; multiple heirs		Summary: Constantine I dies at Nicomedia (337 AD) and is baptized by Eusebius of Nicomedia; the Arian party dominates the city. Evidence: Eusebius, Life of Constantine 4.61. Citations: https://www.britannica.com/biography/Constantine-I-Roman-emperor
0340	0340-0349	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	Eusebius of Nicomedia (d.341); unnamed successor	Arian (dominant)	Eastern Orthodox; multiple heirs		Summary: Eusebius of Nicomedia dies c.341; Nicomedia remains under Arian influence. Evidence: Sozomen, Ecc. Hist. 3.7. Citations: https://www.newadvent.org/fathers/2602.htm
0350	0350-0359	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	Roman Empire	Bithynia et Pontus	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	Arian (dominant)	Eastern Orthodox; multiple heirs		Summary: Nicomedia remains an important Eastern city under Arian influence in the post-Nicaea controversies. Evidence: General records. Citations: https://www.newadvent.org/fathers/2602.htm
0100	0100-0109	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	probable	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaea is a significant Bithynian city; Christianity probable given Pliny's letter attesting widespread Christian presence in the province (~111-112 AD). Evidence: Pliny, Ep. 10.96-97. Citations: https://faculty.georgetown.edu/jod/texts/pliny.html
0110	0110-0119	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaea church attested through Pliny's province-wide letter; an episcopal community exists in this important Bithynian city. Evidence: Pliny, Ep. 10.96-97. Citations: https://faculty.georgetown.edu/jod/texts/pliny.html
0120	0120-0129	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0130	0130-0139	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0140	0140-0149	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0150	0150-0159	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0160	0160-0169	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0170	0170-0179	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0180	0180-0189	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0190	0190-0199	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0200	0200-0209	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0210	0210-0219	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0220	0220-0229	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0230	0230-0239	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0240	0240-0249	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0250	0250-0259	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0260	0260-0269	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0270	0270-0279	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0280	0280-0289	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues during Great Peace. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0290	0290-0299	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0300	0300-0309	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church continues; Diocletian persecution affects Bithynia. Evidence: General records. Citations: https://www.newadvent.org/fathers/250108.htm
0310	0310-0319	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0110	unknown	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaean church recovers from persecution; Edict of Milan (313) brings freedom. Evidence: General records. Citations: https://www.newadvent.org/fathers/250110.htm
0320	0320-0329	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0325	unknown	Unknown/Composite	Constantine I; Hosius of Corduba; Arius; Alexander of Alexandria; Athanasius	Nicene proto-orthodox	Eastern Orthodox; Catholic; multiple heirs	Nicaea I (325): host	Summary: Nicaea hosts the First Ecumenical Council (325 AD) under Constantine; 318 bishops gather; the Nicene Creed and homoousios formula are adopted against Arianism. Evidence: Eusebius, Life of Constantine 3.6-3.14; Theodoret, Ecc. Hist. 1.7. Citations: https://www.britannica.com/event/First-Council-of-Nicaea-325
0330	0330-0339	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0325	unknown	Unknown/Composite	unnamed bishops	Nicene proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaea church continues in the aftermath of the great council; the city is famous as the site of the 325 council. Evidence: General records. Citations: https://www.newadvent.org/fathers/2602.htm
0340	0340-0349	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0325	unknown	Unknown/Composite	unnamed bishops	Nicene proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaea church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/2602.htm
0350	0350-0359	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	Roman Empire	Bithynia	attested	0100	0325	unknown	Unknown/Composite	unnamed bishops	Nicene proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Nicaea is famous as host of the first ecumenical council; the city is now part of the province near Constantinople. Evidence: General records. Citations: https://www.newadvent.org/fathers/2602.htm
0080	0080-0089	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	claimed_tradition	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	Stachys (trad., Romans 16:9)	claimed tradition	Eastern Orthodox; Catholic; multiple heirs		Summary: Tradition holds that Andrew the Apostle founded the church at Byzantium and appointed Stachys (Romans 16:9) as first bishop. Uncertainty: tradition first attested in late sources; scholarly consensus places earliest attestation c.100 AD. Evidence: Eusebius, Ecc. Hist. 3.4 (via tradition); Romans 16:9. Citations: https://www.newadvent.org/fathers/2501.htm
0090	0090-0099	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	claimed_tradition	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	Stachys (trad.)	claimed tradition	Eastern Orthodox; Catholic; multiple heirs		Summary: Tradition continues through Stachys; no contemporary documentation. Uncertainty: tradition retrospective. Evidence: General tradition. Citations: https://www.newadvent.org/fathers/2501.htm
0100	0100-0109	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable as an established see; Byzantium is an important strategic city on the Bosphorus. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0110	0110-0119	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0120	0120-0129	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0130	0130-0139	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0140	0140-0149	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0150	0150-0159	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable. Evidence: General records. Citations: https://www.newadvent.org/fathers/250104.htm
0160	0160-0169	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0170	0170-0179	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0180	0180-0189	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	probable	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church probable. Evidence: General records. Citations: https://www.newadvent.org/fathers/250105.htm
0190	0190-0199	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	attested	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops; Metrophanes (later)	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church attested in the episcopal lists; Byzantium is an important strategic city with a functioning diocese. Evidence: Eusebius (implied via episcopal lists). Citations: https://www.newadvent.org/fathers/250106.htm
0200	0200-0209	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	attested	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0210	0210-0219	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	attested	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0220	0220-0229	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	attested	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0230	0230-0239	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	attested	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0240	0240-0249	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	attested	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250106.htm
0250	0250-0259	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	attested	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
0260	0260-0269	Byzantium	Istanbul	Türkiye	41.00820	28.97840	exact	Roman Empire	Thrace	attested	0036	0100	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite	unnamed bishops	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Byzantine church continues. Evidence: General records. Citations: https://www.newadvent.org/fathers/250107.htm
