raw_person_token	canonical_person_slug	canonical_person_label	disambiguation_note
Restitutus (Bishop of London)	restitutus	Restitutus	
Restitutus of London	restitutus-of-london	Restitutus of London	
rival Donatist bishop	rival-donatist-bishop	rival Donatist bishop	
Sagaris (martyred c.166)	sagaris	Sagaris	
Sanctus of Vienne	sanctus-of-vienne	Sanctus of Vienne	
Saturninus (1st bishop trad., martyred ~250 AD)	saturninus	Saturninus	
Saturninus (bishop, martyred ~250 AD)	saturninus	Saturninus	
Scillitan Martyrs (180)	scillitan-martyrs	Scillitan Martyrs	
Secundus	secundus	Secundus	
Serapion of Antioch	serapion-of-antioch	Serapion of Antioch	
Serapion of Antioch (c.190)	serapion-of-antioch	Serapion of Antioch	
Serapion of Antioch (soon)	serapion-of-antioch	Serapion of Antioch	
Sergius Paulus	sergius-paulus	Sergius Paulus	
Sergius Paulus (proconsul)	sergius-paulus	Sergius Paulus	
Shahdost (bishop, martyred 342)	shahdost	Shahdost	
Shahduost (Catholicos, d.342)	shahduost	Shahduost	
Shapur II (oppressor)	shapur-ii	Shapur II	
Shimun bar Sabbae	shimun-bar-sabbae	Shimun bar Sabbae	
Shimun bar Sabbae (bishop c.329-344)	shimun-bar-sabbae	Shimun bar Sabbae	
Shimun bar Sabbae (Catholicos, d.341; martyred)	shimun-bar-sabbae	Shimun bar Sabbae	
Shimun bar Sabbae (martyred 341)	shimun-bar-sabbae	Shimun bar Sabbae	
Shimun bar Sabbae (young)	shimun-bar-sabbae	Shimun bar Sabbae	
Silas	silas	Silas	
Simeon bar Cleophas	simeon-bar-cleophas	Simeon bar Cleophas	
Simon Magus (opponent)	simon-magus	Simon Magus	
Simon the Tanner	simon-the-tanner	Simon the Tanner	
Sixtus I	sixtus-i	Sixtus I	
Sixtus II (martyred 258)	sixtus-ii	Sixtus II	
Sopater of Beroia	sopater-of-beroia	Sopater of Beroia	
Sosthenes	sosthenes	Sosthenes	
Soter	soter	Soter	
Stachys (trad., Romans 16:9)	stachys	Stachys	
Stachys (trad.)	stachys	Stachys	
Stephanus	stephanus	Stephanus	
Stephen I	stephen-i	Stephen I	
successors	successors	successors	
successors of Pachomius	successors-of-pachomius	successors of Pachomius	
Sylvester I	sylvester-i	Sylvester I	
Sylvester I (d.335)	sylvester-i	Sylvester I	
Synesius of Cyrene (young)	synesius-of-cyrene	Synesius of Cyrene	
Tabitha (Dorcas)	tabitha	Tabitha	
Tabitha/Dorcas	tabitha-dorcas	Tabitha/Dorcas	
Tatian	tatian	Tatian	
Telesphorus	telesphorus	Telesphorus	
Tertullian	tertullian	Tertullian	
Tertullian (b. c.160)	tertullian	Tertullian	
Tertullian (d. ~225)	tertullian	Tertullian	
Tertullian (Montanist phase)	tertullian	Tertullian	
Tertullian (young)	tertullian	Tertullian	
Thaddaeus (Addai)	thaddaeus	Thaddaeus	
the Forty Martyrs (martyred c.311 AD)	the-forty-martyrs	the Forty Martyrs	
the Twelve	the-twelve	the Twelve	
Themison	themison	Themison	
Theoctistus	theoctistus	Theoctistus	
Theoctistus of Caesarea	theoctistus-of-caesarea	Theoctistus of Caesarea	
Theonas	theonas	Theonas	
Theophilus (bishop)	theophilus	Theophilus	
Theophilus of Antioch	theophilus-of-antioch	Theophilus of Antioch	
Theotecnus	theotecnus	Theotecnus	
Thomas the Apostle (trad.)	thomas-the-apostle	Thomas the Apostle	
Timaeus	timaeus	Timaeus	
Timothy	timothy	Timothy	
Timothy (nearby Lystra/Iconium region)	timothy	Timothy	
Timothy (young)	timothy	Timothy	
Titus	titus	Titus	
Titus (departed)	titus	Titus	
Titus (in Dalmatia, 2 Tim 4:10)	titus	Titus	
Tobias	tobias	Tobias	
Trajan (emperor)	trajan	Trajan	
Tyrannus	tyrannus	Tyrannus	
unknown house church leader	unknown-house-church-leader	unknown house church leader	
unnamed	unnamed	unnamed	
unnamed (trad. Nambuthiri converts)	unnamed	unnamed	
unnamed (trad.)	unnamed	unnamed	
unnamed bishop	unnamed-bishop	unnamed bishop	
unnamed bishops	unnamed-bishops	unnamed bishops	
unnamed bishops (after Afra's martyrdom)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Beryllus)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Eborius)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Fructuosus)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Irenaeus's martyrdom)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Marcellus)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Marcion departs)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Nicholas)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Philippus)	unnamed-bishops	unnamed bishops	
unnamed bishops (after Saturninus)	unnamed-bishops	unnamed bishops	
unnamed bishops (papa)	unnamed-bishops	unnamed bishops	
unnamed bishops (post-council)	unnamed-bishops	unnamed bishops	
unnamed bishops (successors of Apollinaris)	unnamed-bishops	unnamed bishops	
unnamed bishops and deacons	unnamed-bishops-and-deacons	unnamed bishops and deacons	
unnamed bishops of Tarraco	unnamed-bishops-of-tarraco	unnamed bishops of Tarraco	
unnamed brothers	unnamed-brothers	unnamed brothers	
unnamed brothers and sisters	unnamed-brothers-and-sisters	unnamed brothers and sisters	
unnamed Christians	unnamed-christians	unnamed Christians	
unnamed church leaders	unnamed-church-leaders	unnamed church leaders	
unnamed community	unnamed-community	unnamed community	
unnamed deacons	unnamed-deacons	unnamed deacons	
unnamed disciple	unnamed-disciple	unnamed disciple	
unnamed disciples	unnamed-disciples	unnamed disciples	
unnamed elders	unnamed-elders	unnamed elders	
unnamed elders appointed across Crete	unnamed-elders-appointed-across-crete	unnamed elders appointed across Crete	
unnamed freed demoniacs	unnamed-freed-demoniacs	unnamed freed demoniacs	
unnamed islanders	unnamed-islanders	unnamed islanders	
unnamed local Christians	unnamed-local-christians	unnamed local Christians	
unnamed local community	unnamed-local-community	unnamed local community	
unnamed missionaries	unnamed-missionaries	unnamed missionaries	
unnamed missionaries from Asia Minor	unnamed-missionaries-from-asia-minor	unnamed missionaries from Asia Minor	
unnamed missionaries from Edessa	unnamed-missionaries-from-edessa	unnamed missionaries from Edessa	
unnamed Samaritan community	unnamed-samaritan-community	unnamed Samaritan community	
unnamed Samaritan converts	unnamed-samaritan-converts	unnamed Samaritan converts	
unnamed successor	unnamed-successor	unnamed successor	
unnamed successor bishops	unnamed-successor-bishops	unnamed successor bishops	
unnamed successors	unnamed-successors	unnamed successors	
unnamed successors to Gregory Thaumaturgus (d.~270)	unnamed-successors-to-gregory-thaumaturgus	unnamed successors to Gregory Thaumaturgus	
unnamed Syrian missionaries	unnamed-syrian-missionaries	unnamed Syrian missionaries	
Urban I	urban-i	Urban I	
Valens (problematic deacon)	valens	Valens	
Valentinus	valentinus	Valentinus	
Valentinus (possibly educated here)	valentinus	Valentinus	
Valerius of Caesaraugusta (bishop)	valerius-of-caesaraugusta	Valerius of Caesaraugusta	
veneration of the Forty Martyrs begins	veneration-of-the-forty-martyrs-begins	veneration of the Forty Martyrs begins	
veneration of Vincent begins	veneration-of-vincent-begins	veneration of Vincent begins	
Vetius Epagathus	vetius-epagathus	Vetius Epagathus	
Victor I	victor-i	Victor I	
Vincent of Saragossa (martyred here c.304 AD)	vincent-of-saragossa	Vincent of Saragossa	
Vitalis	vitalis	Vitalis	
Vitalis (bishop at Ancyra synod 314)	vitalis	Vitalis	
Vologeses (bishop)	vologeses	Vologeses	
Vrtanes (Catholicos)	vrtanes	Vrtanes	
young King Ezana	young-king-ezana	young King Ezana	
Zabdas	zabdas	Zabdas	
Zacchaeus	zacchaeus	Zacchaeus	
Zebinus	zebinus	Zebinus	
Zephyrinus	zephyrinus	Zephyrinus	
